name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
E. Eze CAM CM LM,24,78,83,"Crystal Palace
2020 ~ 2025",235794,"178cm / 5'10""",67kg / 148lbs,Right,80,CAM,5,€21M,€48K,€41.5M,338,72,76,49,78,63,378,83,73,70,71,81,388,77,77,82,73,79,354,71,67,74,68,74,330,58,52,72,77,71,79,140,40,58,42,55,10,12,9,14,10,1983,423,1,77,74,75,81,49
L. Geertruida RB CB CDM,21,79,86,"Feyenoord
2017 ~ 2025",241187,"185cm / 6'1""",73kg / 161lbs,Right,80,CB,7,€34M,€10K,€54.4M,316,68,61,80,76,31,308,75,56,30,70,77,378,77,80,76,73,72,339,49,89,78,81,42,324,72,77,67,68,40,77,237,76,81,80,58,12,11,13,12,10,1960,435,1,79,53,69,76,79
B. Johnson RW ST,21,75,85,"Nottingham Forest
2019 ~ 2026",251421,"179cm / 5'10""",71kg / 157lbs,Right,76,RM,10,€12.5M,€43K,€26.3M,346,72,76,58,67,73,324,80,64,43,63,74,395,87,89,88,65,66,307,70,40,78,52,67,277,48,23,68,71,67,70,136,41,42,53,52,14,7,13,5,13,1837,402,1,88,72,67,77,41
Jota LW RW,23,77,83,"Celtic
2021 ~ 2027",234570,"175cm / 5'9""",67kg / 148lbs,Right,78,CAM,6,€16.5M,€50K,€33M,348,75,74,60,73,66,371,80,76,68,68,79,411,85,87,89,70,80,340,72,69,69,57,73,299,56,37,73,74,59,75,94,28,41,25,51,14,7,14,5,11,1914,408,1,86,72,73,80,37
M. Caicedo CDM CM,20,78,85,"Brighton & Hove Albion
2021 ~ 2027",256079,"178cm / 5'10""",71kg / 157lbs,Right,79,CDM,7,€26M,€42K,€54.6M,300,53,58,57,80,52,329,73,51,54,74,77,372,78,72,75,71,76,373,72,80,80,70,71,346,73,79,68,72,54,76,231,76,79,76,56,15,6,13,9,13,2007,432,1,75,63,69,75,76
C. Doucouré CDM CM,22,78,83,"Crystal Palace
2022 ~ 2026",242619,"180cm / 5'11""",73kg / 161lbs,Right,79,CDM,5,€20M,€43K,€39.5M,293,54,56,58,77,48,336,76,59,47,77,77,352,66,69,70,76,71,337,59,66,78,78,56,350,77,80,67,74,52,77,225,74,77,74,63,10,14,12,12,15,1956,422,1,68,57,69,76,75
J. Bellingham CM CAM,16,61,82,"Birmingham City
2022 ~ 2025",270964,"187cm / 6'2""",73kg / 161lbs,Right,63,CAM,21,€1M,€750,€2.9M,264,51,48,52,66,47,293,65,55,44,64,65,322,64,68,62,58,70,294,57,69,63,58,47,274,56,54,59,60,45,66,172,57,58,57,59,10,10,13,15,11,1678,356,1,66,50,60,65,56
J. Bellingham CM,19,85,91,"Borussia Dortmund
2020 ~ 2025",252371,"186cm / 6'1""",75kg / 165lbs,Right,87,CM,6,€81.5M,€44K,€154.9M,369,66,77,69,86,71,377,86,73,49,85,84,392,77,70,81,85,79,395,78,77,91,75,74,385,85,81,78,84,57,81,233,77,79,77,48,14,11,10,5,8,2199,470,3,73,75,79,84,78
J. Šutalo CB,22,78,85,"Dinamo Zagreb
2018 ~ 2028",256325,"190cm / 6'3""",82kg / 181lbs,Right,80,CB,7,€26.5M,€950,€63.6M,242,43,27,74,72,26,270,69,29,22,74,76,351,79,76,62,80,54,312,43,80,77,83,29,285,67,82,37,60,39,81,240,80,81,79,55,8,15,7,11,14,1755,397,1,77,32,59,71,80
T. Tomiyasu RB LB,23,78,83,"Arsenal
2021 ~ 2026",232938,"188cm / 6'2""",84kg / 185lbs,Right,80,CB,5,€20M,€59K,€39.5M,273,65,29,74,75,30,298,69,48,37,70,74,365,76,72,69,78,70,297,42,70,77,80,28,314,78,78,58,63,37,72,241,81,81,79,45,9,14,6,5,11,1833,403,1,74,33,67,71,80
M. Olise RW CAM RM,20,78,84,"Crystal Palace
2021 ~ 2026",247827,"178cm / 5'10""",68kg / 150lbs,Left,80,CAM,6,€22M,€46K,€46.2M,320,77,71,36,78,58,389,83,78,70,76,82,411,81,79,91,73,87,307,74,51,68,46,68,328,66,48,69,78,67,74,154,52,56,46,49,9,11,9,10,10,1958,416,1,80,70,77,83,50
R. Lavia CDM,18,70,83,"Southampton
2022 ~ 2027",263620,"181cm / 5'11""",75kg / 165lbs,Right,71,CDM,13,€3.5M,€7K,€8.8M,247,40,36,58,77,36,323,75,60,50,63,75,361,74,69,76,66,76,296,59,59,70,72,36,284,71,58,40,64,51,73,216,72,73,71,43,7,7,5,11,13,1770,390,1,71,42,63,75,68
K. Mitoma LM,25,79,80,"Brighton & Hove Albion
2021 ~ 2025",255565,"178cm / 5'10""",71kg / 157lbs,Right,80,CAM,1,€21M,€68K,€41.5M,344,69,76,52,78,69,363,87,71,62,59,84,410,89,79,89,75,78,336,69,65,72,62,68,333,58,57,75,80,63,77,169,56,59,54,56,10,13,10,14,9,2011,435,1,84,72,73,85,57
M. Guéhi CB,21,78,86,"Crystal Palace
2021 ~ 2026",241159,"182cm / 6'0""",82kg / 181lbs,Right,80,CB,8,€29.5M,€36K,€62M,261,35,42,76,76,32,286,65,42,32,75,72,358,68,77,68,80,65,294,49,70,70,79,26,279,73,79,35,54,38,74,238,81,79,78,52,8,9,11,12,12,1768,394,1,73,39,59,69,79
A. Güler CAM CM RM,17,73,86,"Fenerbahçe
2021 ~ 2025",264309,"176cm / 5'9""",61kg / 134lbs,Left,75,CAM,13,€7M,€6K,€17.7M,325,76,66,40,77,66,383,77,81,73,76,76,377,72,69,82,69,85,301,68,62,63,43,65,304,40,54,66,76,68,77,154,52,56,46,58,13,10,11,14,10,1902,389,1,70,66,76,77,52
Gabriel CB,24,82,86,"Arsenal
2020 ~ 2027",232580,"190cm / 6'3""",87kg / 192lbs,Left,84,CB,4,€39.5M,€80K,€78M,260,38,31,85,78,28,267,52,47,27,74,67,305,61,73,51,83,37,309,51,70,71,87,30,309,84,82,44,59,40,74,248,83,84,81,50,12,8,13,10,7,1748,389,2,68,36,62,58,83
R. Gravenberch CM,20,79,88,"FC Bayern München
2022 ~ 2027",246104,"190cm / 6'3""",77kg / 170lbs,Right,82,CAM,9,€38.5M,€45K,€71.2M,358,75,76,58,80,69,390,84,74,69,78,85,383,76,78,80,73,76,385,78,72,81,75,79,338,52,74,74,80,58,76,197,69,69,59,49,12,8,6,11,12,2100,454,1,77,76,78,83,68
F. Buonanotte CAM RM CM,17,68,83,"Brighton & Hove Albion
2023 ~ 2026",269495,"174cm / 5'9""",66kg / 146lbs,Left,70,CAM,15,€2.8M,€3K,€7.1M,290,54,66,50,69,51,328,72,59,61,66,70,335,76,74,66,52,67,295,60,61,59,51,64,242,32,23,64,68,55,52,66,20,22,24,47,8,9,7,14,9,1603,346,1,75,63,64,69,25
J. Zirkzee ST,21,73,82,"Bologna
2022 ~ 2026",250961,"193cm / 6'4""",89kg / 196lbs,Right,75,ST,9,€7M,€21K,€13.3M,327,55,77,58,70,67,334,76,68,66,45,79,332,68,69,66,69,60,357,73,66,63,84,71,267,43,14,73,70,67,74,50,20,14,16,51,6,11,12,8,14,1718,371,1,69,74,63,75,20
Moleiro LM CM CAM,18,76,88,"Las Palmas
2021 ~ 2026",264388,"172cm / 5'8""",67kg / 148lbs,Right,79,CAM,12,€17.5M,€4K,€31.5M,314,59,67,57,78,53,334,81,59,42,74,78,388,85,74,80,66,83,313,68,61,65,56,63,324,60,45,74,86,59,60,141,40,48,53,45,6,9,11,8,11,1859,400,1,79,66,72,78,46
Palhinha CDM CM,26,82,85,"Fulham
2022 ~ 2027",229391,"190cm / 6'3""",85kg / 187lbs,Right,85,CB,3,€36M,€72K,€71.1M,331,59,62,79,77,54,342,77,64,45,78,78,324,63,67,66,77,51,400,79,81,87,89,64,364,90,80,67,71,56,82,252,83,85,84,46,14,10,8,7,7,2059,446,1,65,65,70,75,83
F. Balogun ST,20,76,84,"Stade de Reims 
Jun 30, 2023 On loan",247463,"178cm / 5'10""",66kg / 146lbs,Right,78,ST,8,€16.5M,€55K,€0,347,56,80,69,69,73,309,75,59,45,55,75,381,79,79,74,75,74,339,75,56,66,73,69,280,49,18,79,60,74,76,49,18,15,16,57,10,12,12,13,10,1762,379,1,79,76,61,75,22
E. Ferguson ST CF,17,69,85,"Brighton & Hove Albion
2021 ~ 2028",259608,"188cm / 6'2""",75kg / 165lbs,Right,71,ST,16,€3.5M,€6K,€8.8M,289,40,74,66,62,47,274,63,45,52,45,69,348,72,77,66,64,69,337,71,70,64,73,59,274,61,13,73,60,67,66,47,20,13,14,54,9,8,14,12,11,1623,352,1,75,69,53,66,21
Fresneda RB,17,69,85,"Real Valladolid
2021 ~ 2025",266253,"179cm / 5'10""",70kg / 154lbs,Right,70,RWB,16,€3.3M,€500,€9M,263,63,43,55,67,35,281,75,50,30,53,73,365,78,76,72,65,74,278,43,57,76,68,34,273,59,63,57,53,41,60,197,65,68,64,48,14,5,12,6,11,1705,382,2,77,41,59,73,64
Y. Moukoko ST,17,76,89,"Borussia Dortmund
2020 ~ 2026",240833,"179cm / 5'10""",72kg / 159lbs,Left,78,ST,13,€17M,€9K,€39.5M,335,47,79,65,69,75,311,79,68,42,44,78,409,82,83,84,75,85,351,77,77,64,67,66,281,52,32,78,59,60,71,86,30,31,25,60,13,13,11,10,13,1833,392,1,83,75,57,79,34
R. Højlund ST,19,73,83,"Atalanta
2022 ~ 2027",259399,"187cm / 6'2""",79kg / 174lbs,Left,75,ST,10,€6.5M,€22K,€12.4M,307,38,74,68,64,63,299,72,58,48,49,72,370,83,84,69,68,66,355,74,58,73,84,66,293,69,28,72,54,70,72,66,27,24,15,50,12,8,9,14,7,1740,386,1,84,72,53,71,29
W. Endo CM CDM,29,79,79,"VfB Stuttgart
2020 ~ 2024",232487,"178cm / 5'10""",77kg / 170lbs,Right,79,CM,0,€17M,€32K,€30.6M,306,55,65,78,82,26,326,78,43,46,78,81,363,73,55,73,82,80,390,73,91,90,66,70,358,76,79,66,75,62,83,233,82,79,72,45,9,13,7,11,5,2021,433,2,63,66,71,79,79
R. Kolo Muani ST RM,23,82,86,"Eintracht Frankfurt
2022 ~ 2027",237679,"187cm / 6'2""",73kg / 161lbs,Right,83,ST,4,€44M,€40K,€78.1M,381,64,80,78,79,80,355,86,70,54,62,83,425,90,87,84,81,83,379,81,82,74,76,66,303,32,38,84,82,67,85,97,32,33,32,49,7,14,15,8,5,1989,426,1,88,77,72,84,38
Gabriel Martinelli LW LM,21,82,88,"Arsenal
2019 ~ 2027",251566,"178cm / 5'10""",75kg / 165lbs,Right,83,RM,6,€49M,€85K,€102.9M,381,75,83,72,77,74,364,89,72,65,55,83,428,91,88,86,81,82,344,77,55,82,63,67,335,80,37,80,78,60,77,131,44,44,43,35,10,6,7,6,6,2018,441,1,89,77,73,86,45
N. Barella CM,25,85,87,"Inter
2020 ~ 2026",224232,"175cm / 5'9""",68kg / 150lbs,Right,86,CM,2,€67M,€100K,€118.9M,374,79,76,53,86,80,397,81,79,67,83,87,425,79,78,90,88,90,401,77,78,94,73,79,406,84,83,83,83,73,86,240,80,79,81,54,11,5,13,14,11,2297,481,3,78,77,82,85,78
X. Simons CAM RW LW,19,78,88,"PSV
2022 ~ 2027",245367,"179cm / 5'10""",58kg / 128lbs,Right,80,CAM,10,€30.5M,€12K,€48.8M,330,65,73,53,77,62,375,80,75,65,72,83,421,88,85,87,79,82,341,69,57,83,66,66,361,79,65,75,79,63,77,178,60,62,56,43,9,11,5,8,10,2049,445,1,86,70,74,82,61
B. Saka RW RM,20,85,90,"Arsenal
2018 ~ 2027",246669,"178cm / 5'10""",65kg / 143lbs,Left,86,LM,5,€80M,€110K,€158M,367,82,83,45,81,76,391,89,81,69,65,87,425,88,82,84,85,86,356,77,54,84,63,78,383,68,68,82,83,82,79,201,65,69,67,50,7,8,13,9,13,2173,465,2,85,80,79,87,65
K. Thuram CM CDM,21,79,85,"Nice
2019 ~ 2025",247246,"192cm / 6'4""",81kg / 179lbs,Right,81,CM,6,€28M,€35K,€58.8M,360,72,75,76,82,55,366,80,72,56,78,80,367,75,74,71,78,69,380,74,74,81,80,71,363,70,77,78,79,59,79,228,77,77,74,50,7,9,14,11,9,2114,456,1,74,72,77,78,77
M. Tel ST LM RM,17,68,86,"FC Bayern München
2022 ~ 2027",268421,"183cm / 6'0""",77kg / 170lbs,Right,70,ST,18,€3M,€4K,€6.8M,304,56,67,55,64,62,319,74,65,52,55,73,361,79,76,74,58,74,326,79,61,50,67,69,245,44,17,67,61,56,66,78,21,26,31,54,12,9,15,7,11,1687,363,1,77,69,60,73,26
C. Baleba CM,18,65,79,"Lille
2022 ~ 2026",272500,"179cm / 5'10""",75kg / 165lbs,Left,67,CAM,14,€1.7M,€3K,€4.3M,258,42,42,59,72,43,296,64,53,43,68,68,366,76,79,73,63,75,330,66,72,65,74,53,295,65,54,59,67,50,61,184,59,64,61,52,11,6,8,14,13,1781,386,1,78,50,62,66,60
J. Ayew RW RM ST,30,74,74,"Crystal Palace
2019 ~ 2023",197756,"182cm / 6'0""",81kg / 179lbs,Right,74,RW,0,€4.1M,€47K,€7.8M,360,72,71,73,73,71,349,78,73,67,54,77,374,74,74,78,75,73,362,75,71,74,72,70,343,74,50,74,72,73,69,156,51,58,47,45,6,8,7,16,8,1989,420,2,74,72,69,77,55
L. Messi RW,35,91,91,"Paris Saint Germain
2021 ~ 2023",158023,"169cm / 5'7""",67kg / 148lbs,Left,92,CAM,0,€54M,€195K,€99.9M,423,84,90,70,91,88,464,95,93,93,90,93,441,87,76,91,92,95,383,86,68,70,68,91,346,44,40,93,94,75,96,79,20,35,24,54,6,11,15,14,8,2190,452,5,81,89,90,94,34
D. Szoboszlai CAM LM,21,81,87,"RB Leipzig
2021 ~ 2026",236772,"186cm / 6'1""",74kg / 163lbs,Right,83,CAM,6,€41.5M,€46K,€78.9M,382,81,77,58,81,85,422,83,90,87,79,83,387,78,88,80,78,63,384,87,69,74,67,87,310,40,32,77,82,79,80,90,35,30,25,49,10,10,13,10,6,2024,426,2,84,82,82,81,34
S. Pafundi CAM RM,16,67,86,"Udinese
2022 ~ 2025",271575,"164cm / 5'5""",59kg / 130lbs,Left,69,CAM,19,€2.5M,€750,€5.8M,308,64,61,55,67,61,351,71,74,71,64,71,398,83,76,87,57,95,289,73,64,45,42,65,311,61,55,61,65,69,70,122,47,39,36,43,7,10,11,7,8,1822,377,1,79,65,66,73,46
T. Kubo ST RM CAM,21,78,85,"Real Sociedad
2022 ~ 2027",237681,"173cm / 5'8""",67kg / 148lbs,Left,81,CAM,7,€29M,€28K,€66.7M,362,72,83,60,74,73,381,83,75,73,65,85,417,88,79,85,82,83,337,75,52,75,59,76,290,43,29,81,68,69,68,127,38,43,46,48,6,7,15,10,10,1962,416,1,83,79,71,83,41
J. David ST,22,81,85,"Lille
2020 ~ 2025",243630,"175cm / 5'9""",70kg / 154lbs,Right,83,ST,4,€38M,€41K,€75.1M,380,67,84,76,77,76,343,79,58,58,69,79,393,81,85,75,82,70,399,79,86,83,77,74,332,55,33,85,73,86,81,77,29,29,19,39,7,7,11,7,7,1963,422,2,83,81,71,78,34
M. Mudryk LM LW,21,75,85,"Chelsea
2023 ~ 2031",246340,"175cm / 5'9""",61kg / 134lbs,Right,76,CAM,10,€12.5M,€57K,€26.3M,287,69,66,39,66,47,348,80,62,63,64,79,411,93,90,86,67,75,314,69,60,64,53,68,286,62,28,69,75,52,70,141,51,52,38,49,10,12,14,6,7,1836,406,1,91,66,68,79,44
K. Kvaratskhelia LW CAM,21,81,87,"Napoli
2022 ~ 2027",247635,"183cm / 6'0""",70kg / 154lbs,Right,83,CAM,6,€41.5M,€53K,€78.9M,359,75,78,62,80,64,395,85,82,65,76,87,398,83,84,84,74,73,364,78,59,79,70,78,328,62,40,80,81,65,82,111,38,39,34,54,9,15,8,14,8,2009,434,2,84,77,78,84,41
Gabri Veiga CM CAM,20,71,85,"Celta de Vigo
2019 ~ 2026",258729,"184cm / 6'0""",71kg / 157lbs,Right,75,CAM,14,€4.5M,€11K,€12.3M,303,55,78,52,73,45,337,76,56,54,72,79,348,72,71,74,66,65,343,73,60,69,65,76,300,46,62,65,67,60,68,158,41,62,55,55,13,14,13,6,9,1844,401,2,71,73,66,75,54
António Silva CB,18,78,88,"Benfica
2022 ~ 2027",270086,"187cm / 6'2""",80kg / 176lbs,Right,80,CB,10,€27.5M,€4K,€60.5M,271,45,28,74,74,50,277,69,36,26,73,73,338,75,79,53,79,52,305,51,67,83,82,22,287,66,80,34,67,40,77,239,80,81,78,44,12,10,8,6,8,1761,399,1,77,33,62,69,80
E. Haaland ST,21,90,94,"Manchester City
2022 ~ 2027",239085,"195cm / 6'5""",94kg / 207lbs,Left,92,ST,4,€176.5M,€240K,€339.8M,386,47,95,80,75,89,352,78,77,62,53,82,419,82,94,76,93,74,430,94,78,79,93,86,382,87,42,95,74,84,87,123,41,53,29,52,7,14,13,11,7,2144,462,4,89,92,65,80,48
W. Saliba CB,21,83,89,"Arsenal
2019 ~ 2024",243715,"193cm / 6'4""",85kg / 187lbs,Right,85,CB,6,€53M,€73K,€111.3M,284,58,37,72,83,34,318,72,55,35,76,80,356,78,86,50,83,59,313,60,74,69,87,23,320,83,85,43,62,47,81,255,85,87,83,42,7,10,6,8,11,1888,428,2,82,39,69,73,84
T. Almada CAM CM CF,21,77,87,"Atlanta United
2022 ~ 2025",245371,"171cm / 5'7""",62kg / 137lbs,Right,79,CAM,10,€23.5M,€7K,€38.8M,325,66,72,39,75,73,397,82,85,80,70,80,431,91,81,92,74,93,333,75,56,75,55,72,342,64,58,70,73,77,81,157,47,57,53,47,12,8,9,8,10,2032,429,1,86,73,73,83,52
Kim Min Jae CB,25,80,82,"Napoli
2022 ~ 2025",237086,"190cm / 6'3""",81kg / 179lbs,Right,82,CB,2,€23.5M,€52K,€41.7M,233,35,23,78,73,24,251,57,36,23,69,66,367,75,84,65,78,65,333,51,80,77,88,37,297,84,78,48,57,30,72,243,81,82,80,56,13,7,11,14,11,1780,397,2,80,33,57,63,80
S. Giménez ST,21,77,85,"Feyenoord
2022 ~ 2026",245152,"182cm / 6'0""",69kg / 152lbs,Left,79,ST,8,€24M,€10K,€38.4M,359,60,81,80,70,68,334,74,69,50,66,75,354,75,74,72,63,70,395,77,82,79,84,73,365,78,51,82,73,81,69,136,55,49,32,48,6,14,12,6,10,1991,426,1,74,78,67,73,53
J. Doku RM RW,20,76,85,"Rennes
2020 ~ 2025",246420,"173cm / 5'8""",77kg / 170lbs,Right,78,RM,9,€16.5M,€30K,€34.7M,303,65,70,37,72,59,325,83,63,44,59,76,431,94,89,89,72,87,339,74,75,63,68,59,270,58,18,72,71,51,71,75,22,28,25,50,11,10,8,9,12,1793,396,3,91,67,67,81,25
O. Lingr CAM LM RM,23,75,80,"Slavia Praha
2020 ~ 2024",258208,"175cm / 5'9""",70kg / 154lbs,Right,78,ST,5,€8.5M,€1K,€19.3M,363,69,75,79,72,68,355,76,66,68,69,76,398,79,78,84,70,87,388,75,83,78,78,74,354,84,49,81,72,68,75,148,51,49,48,52,14,5,11,10,12,2058,431,1,78,74,70,77,53
22 M. Greenwood RM ST,19,79,90,"Manchester United
2018 ~ 2025",246147,"181cm / 5'11""",70kg / 154lbs,Left,81,ST,11,€38M,€62K,€77.9M,366,72,83,65,76,70,373,81,78,65,71,78,404,83,84,83,78,76,367,85,67,74,63,78,316,59,34,82,72,69,77,112,40,39,33,34,5,6,6,9,8,1972,423,1,84,81,73,80,40
T. Reijnders CM,23,76,81,"AZ Alkmaar
2017 ~ 2027",240638,"185cm / 6'1""",73kg / 161lbs,Right,78,CAM,5,€11.5M,€10K,€18.1M,338,72,69,58,77,62,363,77,70,68,72,76,388,82,72,84,76,74,381,76,73,91,64,77,345,67,74,71,76,57,75,197,66,67,64,48,6,10,9,14,9,2060,438,1,77,71,74,77,67
C. Pulisic LW RW LM,23,80,84,"Chelsea
2019 ~ 2024",227796,"177cm / 5'10""",69kg / 152lbs,Right,81,CAM,4,€30M,€105K,€59.3M,344,74,73,50,77,70,356,86,70,58,59,83,421,88,82,87,77,87,337,76,79,67,54,61,295,45,33,78,78,61,79,117,38,32,47,63,8,12,13,16,14,1933,407,3,85,71,73,84,37
B. Pavard CB RB,26,82,84,"FC Bayern München
2019 ~ 2024",226851,"186cm / 6'1""",81kg / 179lbs,Right,84,CB,2,€33.5M,€69K,€57.8M,364,74,49,84,79,78,333,68,63,51,76,75,353,68,72,66,81,66,396,80,87,81,78,70,334,74,83,60,66,51,78,252,83,86,83,53,9,7,15,7,15,2085,438,3,70,62,73,71,84
E. Nuamah RW ST LW,18,68,82,"Nordsjælland
2022 ~ 2026",268763,"178cm / 5'10""",71kg / 157lbs,Left,68,RW,14,€2.8M,€2K,€5.3M,261,53,66,37,50,55,297,76,60,45,44,72,417,89,88,90,64,86,316,63,68,64,65,56,221,35,17,68,52,49,67,73,29,21,23,52,11,8,11,9,13,1637,359,1,88,62,50,76,24
Y. Ayari CM CAM,18,61,78,"Brighton & Hove Albion
2023 ~ 2027",257400,"172cm / 5'8""",69kg / 152lbs,Right,65,CAM,17,€825K,€3K,€2.1M,255,52,50,42,65,46,284,65,50,38,64,67,349,65,69,74,56,85,276,55,52,64,57,48,284,66,44,61,64,49,62,154,51,53,50,49,9,11,7,7,15,1651,354,1,67,51,60,67,49
K. Havertz CAM RW ST,23,83,89,"Chelsea
2020 ~ 2025",235790,"190cm / 6'3""",82kg / 181lbs,Left,86,CAM,6,€57.5M,€120K,€120.8M,398,74,81,80,83,80,386,85,84,53,79,85,394,76,85,76,84,73,375,76,75,77,69,78,328,52,38,83,82,73,84,123,39,46,38,47,6,8,11,10,12,2051,435,3,81,79,79,83,45
E. Nketiah ST,23,75,80,"Arsenal
2016 ~ 2027",236988,"180cm / 5'11""",73kg / 161lbs,Right,77,ST,5,€8.5M,€60K,€16.8M,334,43,79,70,72,70,294,78,54,38,47,77,390,83,78,79,78,72,339,73,73,71,62,60,282,56,20,78,58,70,69,58,24,19,15,47,12,10,11,9,5,1744,376,1,80,73,57,77,25
E. Eze CAM CM LM,24,78,83,"Crystal Palace
2020 ~ 2025",235794,"178cm / 5'10""",67kg / 148lbs,Right,80,CAM,5,€21M,€48K,€41.5M,338,72,76,49,78,63,378,83,73,70,71,81,388,77,77,82,73,79,354,71,67,74,68,74,330,58,52,72,77,71,79,140,40,58,42,55,10,12,9,14,10,1983,423,1,77,74,75,81,49
L. Geertruida RB CB CDM,21,79,86,"Feyenoord
2017 ~ 2025",241187,"185cm / 6'1""",73kg / 161lbs,Right,80,CB,7,€34M,€10K,€54.4M,316,68,61,80,76,31,308,75,56,30,70,77,378,77,80,76,73,72,339,49,89,78,81,42,324,72,77,67,68,40,77,237,76,81,80,58,12,11,13,12,10,1960,435,1,79,53,69,76,79
